,level_0,index,studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
27,3605,3605,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,43.0,,,,,,,,,,,,0.000506707479097498,,0.8938319931279859,,2.9870400000000004,1.12776,,0.0254,1.3,1.0668,1.8592799999999998,0.21201264,,,,,,0.18202968,,,,,,,,,,,,,,,,
28,3607,3607,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,85.0,,,,,,,,,,,,0.0647014780059595,,5.02661926584383,,20.29968,10.45464,,0.28702,1.3,2.52984,9.84504,12.782448,,,,,,23.278751999999997,,,,,,,,,,,,,,,,
29,3608,3608,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,113.0,,,,,,,,,,,,0.0741870420146647,,17.080582144598402,,20.45208,7.101839999999999,,0.30734,1.3,4.6634400000000005,13.35024,8.563968,,,,,,51.1506576,,,,,,,,,,,,,,,,
30,3613,3613,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,73.0,,,,,,,,,,,,0.0241243430798319,,1.82414692475099,,21.4884,10.9728,,0.17526,1.3,1.524,10.5156,0.36800568,,,,,,13.226976,,,,,,,,,,,,,,,,
31,3614,3614,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,81.0,,,,,,,,,,,,0.0964973723193275,,23.378996646378603,,21.97608,10.11936,,0.35052,1.3,5.45592,11.85672,38.356415999999996,,,,,,84.23352,,,,,,,,,,,,,,,,
32,3615,3615,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,87.0,,,,,,,,,,,,0.10217249608521901,,23.640944144772803,,22.067520000000002,4.96824,,0.36068,1.3,5.4864,17.09928,59.8752,,,,,,137.272968,,,,,,,,,,,,,,,,
33,3617,3617,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,78.0,,,,,,,,,,,,0.0635613861779901,,8.8288711157948,,22.646639999999998,10.3632,,0.28448,1.3,3.3528,12.283439999999999,21.754656,,,,,,45.1803744,,,,,,,,,,,,,,,,
34,3618,3618,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,210.0,,,,,,,,,,,,0.22559123676899698,,20.593889121668802,,23.37816,14.0208,,0.53594,1.3,5.12064,9.35736,46.40328,,,,,,217.06211519999997,,,,,,,,,,,,,,,,
35,3619,3619,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,155.0,,,,,,,,,,,,0.167841785376255,,21.0871384501215,,23.439120000000003,9.26592,,0.46228,1.3,5.1816,14.1732,56.65464,,,,,,209.681136,,,,,,,,,,,,,,,,
36,3621,3621,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,210.0,,,,,,,,,,,,0.299205699332281,,27.745274725462604,,23.83536,11.70432,,0.61722,1.3,5.9436,12.131039999999999,66.40704000000001,,,,,,300.0114936,,,,,,,,,,,,,,,,
37,3622,3622,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,210.0,,,,,,,,,,,,0.405816952934395,,70.5733258835363,,23.896320000000003,7.833360000000001,,0.71882,1.3,9.479280000000001,16.06296,74.25431999999999,,,,,,624.8507832,,,,,,,,,,,,,,,,
